Settlement Report Date,07/2025
Report Reference,MMSDO_P_202507_EP113200
Merchant ID,217120000002167096846
External MID,EP113200
Merchant Name,"FEI FEI CRAB HOUSE RESTAURANT"
Merchant Company Name,FEI FEI CRAB HOUSE SDN BHD

Merchant Monthly Settlement Report Detailed for E-WALLET Payment

No,Settlement Date,Transaction Datetime,Shop/Outlet Name,Shop/Outlet Location,Transaction Reference,Merchant Reference,Transaction Type,Transaction Amount (RM),Commission Amount (RM),Commission GST (RM),Settlement Amount (RM),Payment Details,Settlement Mode
1,02/07/2025,01/07/2025 13:03:35,"FEI FEI CRAB RESTAURANT SUTERA BRANCH",,20250701211212800100171139491495567,20250701HLBBMYKL030OQR00901468,DUITNOW_QR_AQC,152.7,0,0,152.7,"",Settlement to Bank T+1
2,02/07/2025,01/07/2025 13:32:43,"FEI FEI CRAB RESTAURANT SUTERA BRANCH",,20250701211212800100171398092066281,20250701ALPCSGSG031OQR90385560,DUITNOW_QR_AQC_CB,79.9,0,0,79.9,"",Settlement to Bank T+1
3,02/07/2025,01/07/2025 14:41:22,"FEI FEI CRAB RESTAURANT SUTERA BRANCH",,20250701211212800100171754491502006,20250701PBBEMYKL030OQR14451594,DUITNOW_QR_AQC,103,0,0,103,"",Settlement to Bank T+1
4,02/07/2025,01/07/2025 16:49:34,"FEI FEI CRAB RESTAURANT SUTERA BRANCH",,20250701211212800100171293591292152,20250701BOSTMYNB030OQR62864555,DUITNOW_QR_AQC,37.5,0,0,37.5,"",Settlement to Bank T+1
5,02/07/2025,01/07/2025 17:20:14,"FEI FEI CRAB RESTAURANT SUTERA BRANCH",,20250701211212800100171267091784344,20250701TNGDMYNB030OQR55p2v25q,DUITNOW_QR_TNGD,291,0,0,291,"",Settlement to Bank T+1
6,02/07/2025,01/07/2025 18:12:04,"FEI FEI CRAB HOUSE RESTAURANT",,20250701211212800100171025692298502,20250701TNGDMYNB030OQReeb53lw0,DUITNOW_QR_TNGD,354,0,0,354,"",Settlement to Bank T+1
7,02/07/2025,01/07/2025 19:58:54,"FEI FEI CRAB RESTAURANT SUTERA BRANCH",,20250701211212800100171725992190648,20250701MBBEMYKL030OQR75851791,DUITNOW_QR_AQC,118.7,0,0,118.7,"",Settlement to Bank T+1
8,02/07/2025,01/07/2025 20:05:26,"FEI FEI CRAB HOUSE RESTAURANT",,20250701211212800100171513091579077,20250701TNGDMYNB030OQRj78503qo,DUITNOW_QR_TNGD,251.7,0,0,251.7,"",Settlement to Bank T+1
9,02/07/2025,01/07/2025 20:49:01,"FEI FEI CRAB HOUSE RESTAURANT",,20250701211212800100171979491241040,20250701TNGDMYNB030OQR4209hy11,DUITNOW_QR_TNGD,278.3,0,0,278.3,"",Settlement to Bank T+1
10,02/07/2025,01/07/2025 20:49:46,"FEI FEI CRAB RESTAURANT SUTERA BRANCH",,20250701211212800100171324391796247,20250701TNGDMYNB030OQRdd1b3ai2,DUITNOW_QR_TNGD,157.9,0,0,157.9,"",Settlement to Bank T+1
11,02/07/2025,01/07/2025 21:28:16,"FEI FEI CRAB RESTAURANT SUTERA BRANCH",,20250701211212800100171279091549509,20250701TNGDMYNB030OQR32xjq831,DUITNOW_QR_TNGD,172,0,0,172,"",Settlement to Bank T+1
12,02/07/2025,01/07/2025 22:12:46,"FEI FEI CRAB HOUSE RESTAURANT",,20250701211212800100171696691845578,20250701TNGDMYNB030OQRhvqjsh7z,DUITNOW_QR_TNGD,219,0,0,219,"Dinner",Settlement to Bank T+1
