Settlement Report Date,09/2025
Report Reference,MMSDO_P_202509_EP113200
Merchant ID,217120000002167096846
External MID,EP113200
Merchant Name,"FEI FEI CRAB RESTAURANT AUSTIN"
Merchant Company Name,FEI FEI CRAB HOUSE SDN BHD

Merchant Monthly Settlement Report Detailed for E-WALLET Payment

No,Settlement Date,Transaction Datetime,Shop/Outlet Name,Shop/Outlet Location,Transaction Reference,Merchant Reference,Transaction Type,Transaction Amount (RM),Commission Amount (RM),Commission GST (RM),Settlement Amount (RM),Payment Details,Settlement Mode
1,02/09/2025,01/09/2025 13:50:12,"FEI FEI CRAB RESTAURANT SUTERA BRANCH",,20250901211212800100171627398773732,20250901TNGDMYNB030OQRvo38583l,DUITNOW_QR_TNGD,192,0,0,192,"",Settlement to Bank T+1
2,02/09/2025,01/09/2025 14:29:42,"FEI FEI CRAB RESTAURANT AUSTIN",,20250901211212800100171956699002234,20250901CIBBMYKL030OQR12843231,DUITNOW_QR_AQC,120.2,0,0,120.2,"",Settlement to Bank T+1
3,02/09/2025,01/09/2025 15:04:47,"FEI FEI CRAB RESTAURANT ECO BOTANIC BRANCH",,20250901211212800100171090198932186,20250901TNGDMYNB030OQRu2l03c22,DUITNOW_QR_TNGD,306.4,0,0,306.4,"",Settlement to Bank T+1
4,02/09/2025,01/09/2025 16:57:09,"FEI FEI CRAB RESTAURANT SUTERA BRANCH",,20250901211212800100171881599042518,20250901TNGDMYNB030OQR3712dbna,DUITNOW_QR_TNGD,135,0,0,135,"",Settlement to Bank T+1
5,02/09/2025,01/09/2025 17:00:41,"FEI FEI CRAB RESTAURANT AUSTIN",,20250901211212800100171435898037190,20250901TNGDMYNB030OQRc4l84rol,DUITNOW_QR_TNGD,20.7,0,0,20.7,"",Settlement to Bank T+1
6,02/09/2025,01/09/2025 18:48:29,"FEI FEI CRAB RESTAURANT SUTERA BRANCH",,20250901211212800100171865599057687,20250901TNGDMYNB030OQRkh1bm161,DUITNOW_QR_TNGD,26.8,0,0,26.8,"dinner",Settlement to Bank T+1
7,02/09/2025,01/09/2025 18:57:12,"FEI FEI CRAB RESTAURANT AUSTIN",,20250901211212800100171693598859941,20250901TNGDMYNB030OQR6399mf75,DUITNOW_QR_TNGD,3,0,0,3,"",Settlement to Bank T+1
8,02/09/2025,01/09/2025 19:55:05,"FEI FEI CRAB RESTAURANT ECO BOTANIC BRANCH",,20250901211212800100171842098449382,20250901HLBBMYKL030OQR39258817,DUITNOW_QR_AQC,5.1,0,0,5.1,"",Settlement to Bank T+1
9,02/09/2025,01/09/2025 20:25:28,"FEI FEI CRAB RESTAURANT SUTERA BRANCH",,20250901211212800100171608499043954,20250901TNGDMYNB030OQRxe786vyc,DUITNOW_QR_TNGD,414.8,0,0,414.8,"",Settlement to Bank T+1
10,02/09/2025,01/09/2025 21:02:42,"FEI FEI CRAB RESTAURANT AUSTIN",,20250901211212800100171714899019352,20250901TNGDMYNB030OQR99b3owkw,DUITNOW_QR_TNGD,144.1,0,0,144.1,"",Settlement to Bank T+1
11,03/09/2025,02/09/2025 12:23:40,"FEI FEI CRAB RESTAURANT SUTERA BRANCH",,20250902211212800100171388598845495,20250902MBBEMYKL030OQR80896797,DUITNOW_QR_AQC,48.1,0,0,48.1,"",Settlement to Bank T+1
12,03/09/2025,02/09/2025 15:12:06,"FEI FEI CRAB RESTAURANT AUSTIN",,20250902211212800100171114598932419,20250902TNGDMYNB030OQR15668j38,DUITNOW_QR_TNGD,6.4,0,0,6.4,"",Settlement to Bank T+1
13,03/09/2025,02/09/2025 18:41:26,"FEI FEI CRAB RESTAURANT SUTERA BRANCH",,20250902211212800100171331498929316,20250902ARBKMYKL030OQR38618674,DUITNOW_QR_AQC,253.8,0,0,253.8,"",Settlement to Bank T+1
14,03/09/2025,02/09/2025 19:39:28,"FEI FEI CRAB RESTAURANT AUSTIN",,20250902211212800100171498099534696,20250902TNGDMYNB030OQRw84t58t1,DUITNOW_QR_TNGD,216.8,0,0,216.8,"",Settlement to Bank T+1
15,03/09/2025,02/09/2025 20:21:08,"FEI FEI CRAB RESTAURANT AUSTIN",,20250902211212800100171467299189570,20250902TNGDMYNB030OQR90xfg9c4,DUITNOW_QR_TNGD,91.2,0,0,91.2,"",Settlement to Bank T+1
16,03/09/2025,02/09/2025 22:00:34,"FEI FEI CRAB RESTAURANT AUSTIN",,20250902211212800100171496099550254,20250902TNGDMYNB030OQRpj497zf8,DUITNOW_QR_TNGD,224.4,0,0,224.4,"",Settlement to Bank T+1
